[2023-11-14 18:23:46,869: INFO: main: this is for test porpose]
[2023-11-14 20:08:03,951: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-14 20:08:03,954: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-14 20:19:53,029: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-14 20:19:53,031: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-14 20:19:53,033: INFO: common: created directory at: artifacts]
[2023-11-14 20:19:53,035: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-14 20:19:53,036: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1JdOFjlz4nPTDpSV9EZJ_kW_cAZWc65fP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-14 20:20:16,316: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1JdOFjlz4nPTDpSV9EZJ_kW_cAZWc65fP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-18 09:47:46,173: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-18 09:47:46,178: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-18 09:47:46,180: INFO: common: created directory at: artifacts]
[2023-11-18 09:47:46,181: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-18 09:47:46,183: INFO: 4196335540: Downloading data from https://drive.google.com/file/d/1JdOFjlz4nPTDpSV9EZJ_kW_cAZWc65fP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-18 09:48:11,423: INFO: 4196335540: Downloaded data from https://drive.google.com/file/d/1JdOFjlz4nPTDpSV9EZJ_kW_cAZWc65fP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-19 10:11:04,037: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-11-19 10:11:04,043: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-19 10:11:04,048: INFO: common: created directory at: artifacts]
[2023-11-19 10:11:04,051: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-11-19 10:11:04,691: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
